,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10,Book 11,Book 12
line141,"And lye by noble Hector on the Plain,","My Death will both the Kingly Brothers please,","The fruitful Isle of Crete well known to Fame,",You stand possess'd of all your Soul desir'd;,"Of Trojan Feasts, and great Acestes Name;","The Cause the same which Ilium once oppress'd,","Our fair Lavinia, nor the Gods provoke.",Thick Clouds of rowling Smoke involve the Sky:,"Exalted each a Nymph: Forsake the Sand,",Think on whose Faith th' Adult'rous Youth rely'd;,In long Procession rank'd; the pious Chief,"In his Aetnean Forge, the God of Fire"
line142,"Or great Sarpedon, in those bloody Fields,",And set insatiate Ithacus at ease.,Sacred of old to Jove's Immortal Name.,Poor Dido with consuming Love is fir'd:,"The crowded Shore with Acclamations fill,","A foreign Mistress, and a foreign Guest.","A foreign Son upon thy Shore descends,",And Fat of Entrails on his Altar fry.,"And swim the Seas, at Cybele's Command.","Who promis'd, who procur'd the Spartan Bride?","Stop'd in the Rear, and gave a vent to Grief.",That Fauchion labour'd sor the Hero's Sire:
line143,"Where Simois rouls the Bodies, and the Shields","This fair unfinish'd Tale, these broken starts,","In the mid Ocean lies, with large Command;","Your Trojan with my Tyrian let us join,","Part to behold, and part to prove their Skill.","But thou, secure of Soul, unbent with Woes,",Whose Martial Fame from Pole to Pole extends.,"But when they saw the Ships that stemm'd the Flood,","No sooner had the Goddess ceas'd to speak,","When all th' united States of Greece combin'd,","The publick Care, he said, which War attends","Immortal Keenness on the Blade bestow'd,"
line144,"Of Heroes, whose dismember'd Hands yet bear",Rais'd expectations in our longing Hearts;,And on its Plains a hundred Cities stand.,"So Dido shall be yours, Aeneas mine:","And first the Gifts in Publick view they place,","The more thy Fortune frowns, the more oppose.","His Race in Arms, and Arts of Peace renown'd,","And glitter'd thro' the Covert of the Wood,","When lo, th' obedient Ships, their Haulsers break;",To purge the World of the perfidious Kind;,"Diverts our present Woes, at least suspends:",And plung'd it hissing in the Stygian Flood.
line145,"The Dart aloft, and clench the pointed Spear?",Unknowing as we were in Grecian Arts.,Another Ida rises there; and we,"One common Kingdom, one united Line.","Green Lawrel Wreaths, and Palm, (the Victors grace:)","The dawnings of thy Safety, shall be shown,","Not Latium shall contain, nor Europe bound:",They rose with Fear; and left th' unfinish'd Feast:,"And, strange to tell, like Dolphins in the Main,",Then was your time to fear the Trojan Fate:,Peace with the Manes of great Pallas dwell;,"Prop'd on a Pillar, which the Ceiling bore,"
line146,"Thus while the Pious Prince his Fate bewails,","His former trembling once again renew'd,",From thence derive our Trojan Ancestry.,"Elisa shall a Dardan Lord obey,","Within the Circle, Arms and Tripods lye;","From whence thou least shalt hope, a Grecian Town.",'Tis theirs what e're the Sun surveys around.,"'Till dauntless Pallas reassur'd the rest,","They plunge their Prows, and dive, and spring again:",Your Quarrels and Complaints are now too late.,"Hail holy Relicks, and a last farewel!",Was plac'd the Lance Auruncan Actor wore;
line147,"Fierce Boreas drove against his flying Sails,","With acted Fear, the Villain thus pursu'd.","From thence, as 'tis divulg'd by certain Fame,",And lofty Carthage for a Dow'r convey.,"Ingotts of Gold, and Silver, heap'd on high;","Thus, from the dark Recess, the Sibyl spoke,","These Answers in the silent Night receiv'd,",To pay the Rites. Himself without delay,"As many beauteous Maids the Billows sweep,","Thus Juno. Murmurs rise, with mix'd Applause;","He said no more, but inly though he mourn'd,","Which with such Force he brandish'd in his Hand,"
line148,"And rent the Sheets: The raging Billows rise,","Long had the Grecians (tir'd with fruitless Care,",To the Rhaetean Shores old Teucrus came.,"Then Venus, who her hidden Fraud descry'd,",And Vests embroider'd of the Tyrian dye.,And the resisting Air the Thunder broke;,"The King himself divulg'd, the Land believ'd:","A Jav'lin seiz'd, and singly took his Way.",As rode before tall Vessels on the Deep.,"Just as they favour, or dislike the Cause:","Restrain'd his Tears, and to the Camp return'd.",The tough Ash trembled like an Osyer Wand.
line149,And mount the tossing Vessel to the Skies:,"And weary'd with an unsuccessful War,)","There fix'd, and there the Seat of Empire chose,","(Which wou'd the Scepter of the World, misguide",The Trumpet's clangor then the Feast proclaims;,The Cave rebellow'd; and the Temple shook.,"The Fame through all the Neighb'ring Nations flew,",Then gain'd a rising Ground; and call'd from far.,"The Foes, surpriz'd with Wonder, stood aghast,","So Winds, when yet unfledg'd in Woods they lie,","Now Suppliants, from Laurentum sent, demand","Then cry'd, O pond'rous Spoil of Actor slain,"
line150,Nor can the shiv'ring Oars sustain the Blow;,"Resolv'd to raise the Siege, and leave the Town;",E're Ilium and the Trojan Tow'rs arose.,"To Lybian Shores,) thus artfully reply'd,",And all prepare for their appointed Games.,"Th' ambiguous God, who rul'd her lab'ring Breast,",When now the Trojan Navy was in view.,"Resolve me, Strangers, whence, and what you are;",Messapus curb'd his fiery Courser's haste;,In whispers first their tender Voices try:,"A Truce, with Olive Branches in their hand.","And never yet by Turnus toss'd in vain,"
line151,"The Galley gives her side, and turns her Prow:","And had the Gods permitted, they had gone.",In humble Vales they built their soft abodes:,"Who but a Fool, wou'd Wars with Juno chuse,","Four Gallies first, which equal Rowers bear,",In these mysterious Words his Mind exprest:,Beneath a shady Tree the Heroe spread,Your Buis'ness here; and bring you Peace or War?,"Old Tyber roar'd; and raising up his Head,","Then issue on the Main with bellowing rage,","Obtest his Clemency, and from the Plain","Fail not this Day thy wonted Force: But go,"
line152,"While those astern descending down the Steep,","But oft the Wintry Seas, and Southern Winds,","Till Cybele, the Mother of the Gods,","And such Alliance, and such Gifts refuse?","Advancing, in the wat'ry Lists appear.","Some Truths reveal'd, in Terms involv'd the rest.","His Table on the Turf, with Cakes of Bread;","High on the Stern, Aeneas took his Stand,",Call'd back his Waters to their Oozy Bed.,And Storms to trembling Mariners presage.,Beg leave to draw the Bodies of their slain.,"Sent by this Hand, to pierce the Trojan Foe:"
line153,Thro' gaping Waves behold the boiling deep.,"Withstood their passage home, and chang'd their Minds.",With tinckling Cymbals charm'd th' Idean Woods▪,If Fortune with our joint Desires comply:,"The speedy Dolphin, that out-strips the Wind,","At length her Fury fell; her foaming ceas'd,","And, with his Chiefs, on Forest Fruits he fed.",And held a Branch of Olive in his Hand;,"Turnus alone, undaunted, bore the Shock;","Then thus to both reply'd th' Imperial God,","They plead, that none those common Rites deny","Give me to tear his Corslet from his Breast,"
line154,"Three Ships were hurry'd by the Southern Blast,",Portents and Prodigies their Souls amaz'd;,"She, secret Rites and Ceremonies taught,","The Doubt is all from Jove, and Destiny.","Bore Mnestheus, Author of the Memmian kind:","And, ebbing in her Soul, the God decreas'd.","They sate, and (not without the God's Command)",While thus he spoke. The Phrygians Arms you see;,And with these Words his trembling Troops bespoke▪,Who shakes Heav'ns Axels with his awful Nod.,"To conquer'd Foes, that in fair Battel dye.","And from that Eunuch Head, to rend the Crest:"
line155,And on the secret Shelves with Fury cast.,"But most, when this stupendous Pile was rais'd.","And to the Yoke, the salvage Lions brought.","Lest he forbid, with absolute Command,","Gyas, the vast Chymaera's Bulk commands,","Then thus the Chief: no Terror to my view,",Their homely Fare dispatch'd; the hungry Band,"Expell'd from Troy, provok'd in Italy","These Monsters for the Trojans Fate are meant,","(When he begins, the silent Senate stand",All cause of Hate was ended in their Death;,"Drag'd in the Dust, his frizled Hair to soil;"
line156,"Those hidden Rocks, th' Ausonian Sailors knew,","Then flaming Meteors, hung in Air, were seen,","Let us the Land, which Heav'n appoints, explore;",To mix the People in one common Land.,Which rising like a tow'ring City stands:,No frightful Face of Danger can be new.,"Invade their Trenchers next, and soon devour,","By Latian Foes, with War unjustly made:",And are by Jove for black Presages sent.,"With Rev'rence, list'ning to the dread Command:",Nor cou'd he War with Bodies void of Breath.,"Hot from the vexing Ir'n, and smear'd with fragrant Oyl."
line157,"They call'd them Altars, when they rose in view,",And Thunders ratled through a Skie serene:,"Appease the Winds, and seek the Gnossian Shore.","Or will the Trojan, and the Tyrian Line,",Three Trojans tug at ev'ry lab'ring Oar;,"Inur'd to suffer, and resolv'd to dare,","To mend the scanty Meal, their Cakes of Flow'r.","At first affianc'd, and at last betray'd.",He takes the Cowards last Relief away;,The Clouds dispel; the Winds their Breath restrain;,"A King, they hop'd, wou'd hear a King's Request:","Thus while he raves, from his wide Nostrils flies"
line158,And show'd their spacious Backs above the Flood.,"Dismay'd, and fearful of some dire Event,","If Jove assists tht passage of our Fleet,","In lasting Leagues, and sure Succession join?",Three Banks in three degrees the Sailors bore;,"The Fates, without my Pow'r, shall be without my Care.","Ascanius this observ'd, and, smiling, said,",This Message bear: The Trojans and their Chief,"For fly they cannot; and, constrain'd to stay,",And the hush'd Waves lie flatted on the Main.),"Whose Son he once was call'd, and once his Guest.","A fiery Steam, and Sparkles from his Eyes."
line159,"Three more, fierce Eurus in his angry Mood,","Eurypylus, t'enquire their Fate, was sent;",The third propitious dawn discovers Creet.,"But you, the Partner of his Bed and Throne,",Beneath their sturdy Stroaks the Billows roar.,"This let me crave, since near your Grove the Road","See, we devour the Plates on which we fed.",Bring holy Peace; and beg the King's Relief.,"Must yield unfought, a base inglorious Prey.",Coelestials! Your attentive Ears incline;,"Their Suit, which was too just to be deny'd,",So fares the Bull in his lov'd Female's sight;
line160,"Dash'd on the Shallows of the moving Sand,",He from the Gods this dreadful Answer brought;,"Thus having said, the Sacrifices laid",May move his Mind; my Wishes are your own.,"Sergesthus, who began the Sergian Race,","To Hell lies open, and the dark Abode,","The Speech had Omen, that the Trojan Race","Struck with so great a Name, and all on fire,","The liquid half of all the Globe, is lost;","Since, said the God, the Trojans must not join","The Heroe grants, and farther thus reply'd:","Proudly he bellows, and preludes the fight:"
line161,And in mid Ocean left them moor'd a-land.,"O Grecians, when the Trojan Shores you sought,","On smoking Altars, to the Gods He paid.","Mine, said Imperial Juno, be the Care;",In the great Centaur took the leading Place:,"Which Acheron surrounds, th' innavigable Flood:","Shou'd find Repose, and this the Time and Place.","The Youth Replies, Whatever you require,","Heav'n shuts the Seas, and we secure the Coast.",In wish'd Alliance with the Latian Line;,"O Latian Princes, how severe a Fate",He tries his goring Horns against a Tree;
line162,"Orontes Barque that bore the Lycian Crew,",Your Passage with a Virgin's Blood was bought:,"A Bull, to Neptune an Oblation due,","Time urges, now, to perfect this Affair:",Cloanthus on the Sea-green Scylla stood;,"Conduct me thro' the Regions void of Light,","Aeneas took the Word, and thus replies;","Your Fame exacts: Upon our Shores descend,","Theirs is no more, than that small spot of Ground,","Since endless jarrings, and immortal Hate,",In causeless Quarrels has involv'd your State!,And meditates his absent Enemy:
line163,"(A horrid Sight) ev'n in the Hero's view,",So must your safe Return be bought again;,Another Bull to bright Apollo slew:,"Attend my Counsel, and the Secret share.",From whom Cluentius draws his Trojan Blood.,And lead me longing to my Father's sight.,(Confessing Fate with Wonder in his Eyes),"A welcome Guest, and what you wish, a Friend.",Which Millions of our Martial Troops surround.,Tend but to discompose our happy State;,"And arm'd against an unoffending Man,","He pushes at the Winds, he digs the Strand"
line164,"From Stem to Stern, by Waves was overborn:","And Grecian Blood, once more attone the Main.",A milk white Ewe the Western Winds to please;,"When next the Sun his rising Light displays,","Far in the Sea, against the foaming Shoar,","For him, a thousand Dangers I have sought;","All hail, O Earth! all hail my household Gods,","He said; and downward hasting to the Strand,",Their Fates I fear not; or vain Oracles;,The War henceforward be resign'd to Fate.,Who sought your Friendship e're the War began!,"With his black Hoofs, and spurns the yellow Sand."
line165,"The trembling Pilot, from his Rudder torn,",The spreading Rumour round the People ran;,And one cole black to calm the stormy Seas.,"And guilds the World below, with Purple Rays;",There stands a Rock; the raging Billows roar,"And, rushing where the thickest Grecians fought,",Behold the destin'd place of your Abodes!,"Embrac'd the Stranger Prince, and join'd his Hand.","'Twas giv'n to Venus, they shou'd cross the Seas:","Each to his proper Fortune stand or fall,","You beg a Truce, which I wou'd gladly give,","Nor less the Trojan, in his Lemnian Arms,"
line166,"Was headlong hurl'd; thrice round, the Ship was tost,","All fear'd, and each believ'd himself the Man.","E're this, a flying Rumour had been spred,","The Queen, Aeneas, and the Tyrian Court,","Above his Head in Storms; but when 'tis clear,",Safe on my Back the sacred Burthen brought.,"For thus Anchises prophesy'd of old,","Conducted to the Grove, Aeneas broke","And land secure upon the Latian Plains,",Equal and unconcern'd I look on all.,"Not only for the slain, but those who live.",To future Fight his Manly Courage warms:
line167,"Then bulg'd at once, and in the deep was lost.",Ulysses took th'advantage of their fright;,That fierce Idomeneus from Crete was fled;,"Shall to the shady Woods, for Silvan Game, resort.","Uncurl their ridgy Backs, and at his Foot appear.","He, for my sake, the raging Ocean try'd,",And this our fatal place of Rest foretold.,"The silence first, and thus the King bespoke.","Their promis'd Hour is pass'd, and mine remains.","Rutulians, Trojans, are the same to me;","I came not hether but by Heav'n's Command,","He whets his Fury, and with Joy prepares,"
line168,And here and there above the Waves were seen,"Call'd Calchas, and produc'd in open sight:",Expell'd and exil'd; that the Coast was free,"There, while the Huntsmen pitch their Toils around,",In Peace below the gentle Waters run;,"And Wrath of Heav'n; my still auspicious Guide,","""When on a Foreign Shore, instead of Meat,","Best of the Greeks, to whom, by Fates Command,","'Tis in the Fate of Turnus, to destroy",And both shall draw the Lots their Fates decree.,And sent by Fate to share the Latian Land.,To terminate at once the ling'ring Wars.
line169,"Arms, Pictures, precious Goods, and floating Men.","Than bade him name the Wretch, ordain'd by Fate,",From Foreign or Domestick Enemy:,"And chearful Horns, from Side to Side, resound;","The Cormorants above, lye basking in the Sun.",And bore beyond the strength decrepid Age supply'd.,"""By Famine forc'd, your Trenchers you shall eat;",I bear these peaceful Branches in my hand;,With Sword and Fire the faithless Race of Troy.,Let these assault; if Fortune be their Friend;,Nor wage I Wars unjust; your King deny'd,"To chear his Cheifs, and tender Son, relates"
line170,"The stoutest Vessel to the Storm gave way,","The Publick Victim, to redeem the State.","We leave the Delian Ports, and put to Sea:",A Pitchy Cloud shall cover all the Plain,"On this the Heroe fix'd an Oak in sight,","Oft since he breath'd his last, in dead of Night,","""Then Ease your weary Trojans will attend:",Undaunted I approach you; though I know,"Shall such Affronts as these, alone inflame","And if she favours those, let those defend:","My proffer'd Friendship, and my promis'd Bride.","What Heav'n had promis'd, and expounds the Fates."
line171,And suck'd through loosen'd Planks the rushing Sea.,"Already some presag'd the dire Event,","By Naxos, fam'd for Vintage, make our way:","With Hail, and Thunder, and tempestuous Rain:",The mark to guide the Mariners aright.,His reverend Image stood before my sight;,"""And the long Labours of your Voyage end.","Your Birth is Grecian, and your Land my Foe:","The Grecian Brothers, and the Grecian Name?",The Fates will find their way. The Thund'rer said;,Left me for Turnus; Turnus then should try,"Then to the Latian King he sends, to cease"
line172,"Ilioneus was her Chief: Alethes old,",And saw what Sacrifice Ulysses meant.,Then green Donysa pass; and Sail in sight,"The fearful Train shall take their speedy Flight,","To bear with this, the Seamen stretch their Oars;","Enjoin'd to seek below, his holy Shade;","""Remember on that happy Coast to build:",From Atreus tho' your ancient Lineage came;,"My Cause and theirs is one; a fatal Strife,",And shook the sacred Honours of his Head;,"His Cause in Arms, to Conquer or to dye.","The Rage of Arms, and ratifies the Peace."
line173,"Achates faithful, Abas young and bold",For twice five days the good old Seer withstood,"Of Paros Isle, with Marble Quarries white.","Dispers'd, and all involv'd in gloomy Night:","Then round the Rock they steer, and seek the former Shoars.","Conducted there, by your unerring aid.","""And with a Trench inclose the fruitful Field.",And both the Brother Kings your Kindred claim:,"And final Ruin, for a ravish'd Wife.","Attesting Styx, th' Inviolable Flood,",My Right and his are in dispute: The slain,"The Morn ensuing from the Mountain's height,"
line174,"Endur'd not less: their Ships, with gaping Seams,","Th' intended Treason, and was dumb to Blood.",We pass the scatter'd Isles of Cyclades;,One Cave a grateful Shelter shall afford,"The Lots decide their place; above the rest,","But you, if pious Minds by Pray'rs are won,","This was that Famine, this the fatal place,","Yet, my self-conscious Worth, your high Renown,","Was't not enough, that, punish'd for the Crime,",And the black Regions of his Brother God,"Fell without fault, our Quarrel to maintain.",Had scarcely spread the Skies with rosie Light;
line175,Admit the Deluge of the briny Streams.,"Till Tir'd with endless Clamours, and pursute","That, scarce distinguish'd, seem to stud the Seas.","To the fair Princess, and the Trojan Lord.",Each Leader shining in his Tyrian Vest:,"Oblige the Father, and protect the Son.",Which ends the Wand'ring of our exil'd Race.,"Your Vertue, through the Neighb'ring Nations blown,",They fell; but will they fall a second Time?,Trembled the Poles of Heav'n; and Earth confess'd the Nod.,In equal Arms let us alone contend;,"Th' Etherial Coursers bounding from the Sea,"
line176,Mean time Imperial Neptune heard the Sound,"Of Ithacus, he stood no longer Mute:",The shouts of Saylors double near the shores;,"I will my self, the bridal Bed prepare,","The common Crew, with Wreaths of Poplar Boughs.",Yours is the Pow'r; nor Proserpine in vain,"Then, on to Morrow's Dawn, your Care employ,","Our Fathers mingl'd Blood, Apollo's Voice,","One wou'd have thought they paid enough before,","This end the Sessions had: The Senate rise,","And let him vanquish, whom his Fates befriend.",From out their flaming Nostrils breath'd the Day:
line177,Of raging Billows breaking on the Ground:,"But, as it was agreed, pronounc'd, that I","They stretch their Canvass, and they ply their Oars.","If you, to bless the Nuptials, will be there:","Their Temples crown, and shade their sweaty Brows.",Has made you Priestess of her nightly Reign.,"To search the Land, and where the Cities lye,","Have led me hether, less by Need than Choice.",To curse the costly Sex; and durst offend no more.,And to his Palace wait their Sov'raign thro' the Skies.,"This is the way, so tell him, to possess","When now the Trojan and Rutulian Guard,"
line178,"Displeas'd, and fearing for his Wat'ry Reign,",Was destin'd by the wrathful Gods to die.,"All hands aloft, for Creet for Creet they cry,","So shall their Loves be crown'd with due Delights,","Besmear'd with Oil, their naked Shoulders shine;","If Orpheus, arm'd with his enchanting Lyre,",And what the Men; but give this Day to Joy.,"Our Founder Dardanus, as Fame has sung,","Can they securely trust their feeble Wall,","Mean time, intent upon their Siege, the Foes","The Royal Virgin, and restore the Peace.","In friendly Labour join'd, the List prepar'd."
line179,He reard his awful Head above the Main:,"All prais'd the Sentence, pleas'd the storm should fall",And swiftly through the foamy Billows fly.,And Hymen shall be present at the Rites.,"All take their Seats, and wait the sounding sign.",The ruthless King with Pity could inspire;,"Now pour to Jove, and after Jove is blest,","And Greeks acknowledge, from Electra sprung:","A slight Partition, a thin Interval,",Within their Walls the Trojan Hoast inclose:,Bear this my Message back; with ample leave,"Beneath the Walls, they measure out the Space;"
line180,"Serene in Majesty, then rowl'd his Eyes","On one alone, whose Fury threatn'd all.","Full on the promis'd Land at length we bore,","The Queen of Love consents, and closely smiles","They gripe their Oars, and ev'ry panting Breast",And from the Shades below redeem his Wife:,Call great Anchises to the Genial Feast:,Electra from the Loins of Atlas came;,"Betwixt their Fate and them; when Troy, tho' built","They wound, they kill, they watch at ev'ry Gate:",That your slain Friends may Fun'ral Rites receive.,"Then sacred Altars rear, on sods of Grass;"
line181,"Around the Space of Earth, and Seas, and Skies.","The dismal day was come, the Priests prepare",With Joy desending on the Cretan Shore.,"At her vain Project, and discover'd Wiles.","Is rais'd by turns with Hope, by turns with Fear depress'd.","If Pollux, off'ring his alternate Life,",Crown high the Goblets with a chearful Draught;,Atlas whose Head sustains the Starry Frame.,"By Hands Divine, yet perish'd by their Guilt?","Renew the Fires, and urge their happy Fate.","Thus having said, th' Embassadors amaz'd,","Where, with Religious Rites, their common Gods they place."
line182,"He saw the Trojan Fleet dispers'd, distress'd",Their leaven'd Cakes; and Fillets for my Hair.,"With eager haste a rising Town I frame,","The rosy Morn was risen from the Main,",The clangor of the Trumpet gives the Sign;,Cou'd free his Brother; and can daily go,"Enjoy the present Hour, adjourn the future Thought.",Your Sire is Mercury; whom long before,"Lend me, for once, my Friends, your valiant Hands,","Th' Aeneans wish in vain their wanted Chief,","Stood mute a while, and on each other gaz'd:","In purest white, the Priests their Heads attire,"
line183,By stormy Winds and wintry Heav'n oppress'd.,"I follow'd Natur's Laws, and must avow",Which from the Trojan Pergamus I name:,And Horns and Hounds awake the Princely Train:,"At once they start, advancing in a Line:","By turns aloft, by turns descend below:","Thus having said, the Heroe bound his Brows.",On cold Cyllene's top fair Maja bore.,To force from out their Lines these dastard Bands.,"Hopeless of flight, more hopeless of Relief:","Drances, their Chief, who harbour'd in his Breast","And living Waters bear, and holy Fire:"
line184,"Full well the God his Sister's envy knew,","I broke my Bonds, and fled the fatal blow.",The Name it self was grateful; I exhort,"They issue early through the City Gate,","With shouts the Sailors rend the starry Skys,","Why name I Theseus, or his greater Friend,","With leafy Branches, then perform'd his Vows:","Maja the fair, on Fame if we rely,",Less than a thousand Ships will end this War;,"Thin on the Tow'rs they stand; and ev'n thofe few,","Long hate to Turnus, as his Foe profess'd,","And o're their Linnen Hoods, and shaded Hair,"
line185,"And what her Aims, and what her Arts pursue:","Hid in a weedy Lake all Night I lay,","To found their Houses, and erect a Fort.","Where the more wakeful Huntsmen ready wait,","Lash'd with their Oars, the smoaky Billows rise;","Who trod the downward Path, and upward cou'd ascend!",Adoring first the Genius of the Place;,"Was Atlas Daughter, who sustains the Sky.",Nor Vulcan needs his fated Arms prepare.,"A feeble, fainting, and dejected Crew:","Broke silence first, and to the Godlike Man,",Long twisted Wreaths of sacred Vervain wear.
line186,"He summon'd Eurus and the western Blast,",Secure of Safety when they sail'd away.,"Our Ships are haul'd upon the yellow strand,","With Nets, and Toils, and Darts, beside the force","Sparkles the briny Main, and the vex'd Ocean fries.","Not less than theirs, from Jove my Lineage came:","Then Earth, the Mother of the Heav'nly Race;",Thus from one common Source our Streams divide:,"Let all the Tuscans, all th' Arcadians join,",Yet in the face of Danger some there stood:,"With graceful action bowing, thus began.","In Order issuing from the Town, appears"
line187,And first an angry glance on both he cast:,"But now what further Hopes for me remain,",The Youth begin to till the labour'd Land.,"Of Spartan Dogs, and swift Massylian Horse.","Exact in time, with equal Strokes they row;","My Mother greater, my Descent the same.","The Nymphs, and native Godheads yet unknown,","Ours is the Trojan, yours th' Arcadian side.","Nor these, nor those shall frustrate my Design.","The two bold Brothers of Sarpedon's Blood,","Auspicious Prince, in Arms a mighty Name,","The Latin Legion, arm'd with pointed Spears;"
line188,Then thus rebuk'd; Audacious Winds! from whence,To see my Friends or Native Soil again?,"And I my self new Marriages promote,","The Tyrian Peers, and Officers of State,","At once the brushing Oars, and brazen prow",So pray'd the Trojan Prince; and while he pray'd,"And Night, and all the Stars that guild her sable Throne.","Rais'd by these Hopes, I sent no News before:",Let them not fear the Treasons of the Night;,"Asius, and Acmon: both th' Assaraci;",But yet whose Actions far transcend your Fame;,"And from the Fields, advancing on a Line,"
line189,"This bold Attempt, this Rebel Insolence?","My tender Infants, or my careful Sire;",Give Laws: and Dwellings I divide by Lot.,"For the slow Queen, in Anti-Chambers wait:","Dash up the sandy Waves, and ope the Depths below.",His Hand upon the holy Altar laid.,"And ancient Cybel, and Idaean Jove;","Nor ask'd your leave, nor did your Faith implore;","The robb'd Palladium, the pretended flight:","Young Haemon, and tho' young, resolv'd to dye.","Wou'd I your Justice or your Force express,",The Trojan and the Tuscan Forces join:
line190,"Is it for you to ravage Seas and Land,",Whom they returning will to Death require?,"When rising Vapours choak the wholesom Air,","Her lofty Courser, in the Court below,","Not fiery Coursers, in a Chariot Race,",Then thus reply'd the Prophetess Divine:,"And last his Sire below, and Mother Queen above.","But come, without a Pledg, my own Ambassador.",Our Onset shall be made in open Light.,With these were Clarus and Thymaetes join'd;,Thought can but equal; and all Words are less:,Their various Arms afford a pleasing Sight;
line191,Unauthoriz'd by my supream Command?,"Will perpetrate on them their first Design,",And blasts of noisom Winds corrupt the Year:,"(Who his Majestick Rider seems to know,)",Invade the Field with half so swift a Pace.,O Goddess born! of Great Anchises Line;,"Then Heav'ns high Monarch thundred thrice aloud,","The same Rutulians, who with Arms pursue","No wooden Engine shall their Town betray,","Tibris and Castor, both of Lycian Kind.","Your Answer we shall thankfully relate,","A peaceful Train they seem, in Peace prepar'd for Fight."
line192,To raise such Mountains on the troubl'd Main?,And take the forfeit of their heads for mine?,"The Trees, devouring Caterpillers burn:","Proud of his Purple Trappings, paws the Ground;",Not the fierce Driver with more Fury lends,The Gates of Hell are open Night and day;,"And thrice he shook aloft, a Golden Cloud.","The Trojan Race, are equal Foes to you.","Fires they shall have around, but Fires by Day.","From Acmon's Hands a rowling Stone there came,",And Favours granted to the Latian State:,"Betwixt the Ranks the proud Commanders ride,"
line193,"Whom I—But first 'tis fit, the Billows to restrain,","Which, O if Pity mortal Minds can move!","Parch'd was the Grass, and blited was the Corn.",And champs the Golden Bitt; and spreads the Foam around.,"The sounding Lash; and, e're the Stroke descends,","Smooth the Descent, and easie is the Way:","Soon thro' the joyful Camp a Rumor flew,","Our Host expell'd, what farther Force can stay","No Grecian Babes before their Camp appear,","So large, if half deserv'd a Mountain's Name:","If wish'd Success our Labour shall attend,","Glitt'ring with Gold, and Vests in Purple dy'd."
line194,And then you shall be taught obedience to my Reign.,"If there be Faith below, or Gods above!","Nor scape the Beasts: for Syrius from on high,",The Queen at length appears: On either Hand,Low to the Wheels his pliant Body bends.,"But, to return, and view the chearful Skies;",The time was come their City to renew:,The Victor Troops from Universal Sway?,"Whom Hector's Arms detain'd, to the tenth tardy Year.","Strong sinew'd was the Youth, and big of Bone,","Think Peace concluded, and the King your Friend:","Here Mnestheus Author of the Memmian Line,"
line195,"Hence, to your Lord my Royal Mandate bear,","If Innocence and Truth can claim desert,",With pestilential Heat infects the Sky:,The brawny Guards in Martial Order stand.,The partial Crowd their Hopes and Fears divide;,"In this the Task, and mighty Labour lies.","Then ev'ry Brow with chearful Green is crown'd,",Then will they stretch their Pow'r athwart the Land;,"Now, since the Sun is rowling to the West,",His Brother Mnestheus cou'd not more have done:,Let Turnus leave the Realm to your Command;,And there Messapus born of Seed Divine.
line196,The Realms of Ocean and the Fields of Air,Ye Trojans from an injur'd Wretch avert.,"My Men, some fall, the rest in Feavers fry.","A flow'rd Cymarr, with Golden Fringe, she wore;","And aid, with eager shouts, the favour'd Side.",To few great Jupiter imparts this Grace:,"The Feasts are doubl'd, and the Bowls go round.",And either Sea from side to side command.,Give we the silent Night to neeedful Rest:,Or the great Father of th' intrepid Son.,And seek Alliance in some other Land:,"The Sign is giv'n, and round the listed Space,"
line197,"Are mine, not his; by fatal Lot to me",False Tears true Pity move: the King Commands,Again my Father bids me seek the Shore,And at her Back a Golden Quiver bore:,"Cries, Murmurs, Clamours, with a mixing Sound,","And those of shining Worth, and Heav'nly Race.","When next the rosie Morn disclos'd the Day,",Receive our offer'd Faith: and give us thine;,"Refresh your Bodies, and your Arms prepare,","Some Firebrands throw, some flights of Arrows send;",Build you the City which your Fates assign;,Each Man in order fills his proper Place.
line198,"The liquid Empire fell, and Trident of the Sea.","To loose his Fetters, and unbind his hands:",Of sacred Delos; and the God implore:,"Her flowing Hair, a Golden Caul restrains;","From Woods to Woods, from Hills to Hills rebound.","Betwixt those Regions, and our upper Light,","The Scouts to sev'ral parts divide their Way,","Ours is a gen'rous, and experienc'd Line:",The Morn shall end the small Remains of War.,"And some with Darts, and some with Stones defend.",We shall be proud in the great Work to join.,"Reclining on their ample Shields, they stand;"
line199,"His Pow'r to hollow Caverns is confin'd,","Then adds these friendly words; dismiss thy Fears,","To learn what end of Woes we might expect,","A golden Clasp, the Tyrian Robe sustains.","Amidst the loud Applauses of the Shore,","Deep Forrests, and impenetrable Night","To learn the Natives Names, their Towns, explore","We want not Hearts, nor Bodies for the War;","The Post of Honour to Messapus falls,","Amid the Press appears the beauteous Boy,",Thus Drances; and his Words so well perswade,And fix their pointed Lances in the Sand.
